Symptoms_comment,Causes_and_Disease,Fetched_recommendation
"I am dealing with Fever, Cough recently, and It's worrying me a bit.","The symptoms suggest Viral Infection, and the patient may be experiencing Common Cold.","Disease: FEVER
Treatment: Treatment
Routine use of antipyretics in low-grade fever is not justified. This may mask important clinical
indications. However, in acute febrile illnesses suggestive of viral or bacterial cause, fever
should be treated.
Non pharmacological treatment
Hydrotherapy and rest
Pharmacological treatment
Non-specific
 Tab. paracetamol 500-1000 mg 6-8 hourly. Or Tab. ibuprofen 400-600 mg 8 hourly.
Specific
 Antibiotics/antimalarials depending upon the cause suggested by clinical and laboratory
evaluation.
Outcome
In most cases of fever, patient may either recover spontaneously or a diagnosis is reached after
repeated clinical evaluation and investigations. If no diagnosis is reached in up to 3 weeks,
patient is said to be having fever of unknown origin (FUO) and should be managed accordingly.
Patient education
 Self medication should be avoided.
 Antibiotics should be taken only on advice of a physician.
 Avoid covering the patient having high fever with blanket etc.
 Plenty of fluids should be taken. Stay in cool environment. Cold sponging of face and limbs
should bedone repeatedly.
11
Common Conditions
References
1. Alterations in Body Temperature. In: Harrison's Principles of Internal Medicine. Kasper DL, Braunwald E,
Fauci AS et al (eds), 16th Edition, 2005, McGraw Hill Company Inc., New York, pp 104-25.
2. Physiological Changes in Infected Patients. In: Oxford Textbook of Medicine. Warrell DA, Cox TM, Firth
JD, Benz EJ Jr (eds), 4th Edition, 2003. Oxford University Press, 1289-92."
"These past few days, Headache, Fatigue have been bothering me.","These signs are commonly associated with Stress, a condition that may result in Migraine.","Disease: TENSION-TYPE HEADACHE (TTH)
Treatment: treatment
 The pain of TTH can generally be managed with simple analgesics such as
acetaminophen, aspirin, or NSAIDs.
 Behavioral approaches including relaxation can also be effective.
 For chronic TTH, Tab. amitriptyline 10–75 mg at night time is the only proven treatment"
"These past few days, Shortness of breath have been bothering me.","Based on the symptoms, the likely cause is Pollution, which typically leads to Asthma.","Disease: BRONCHIAL ASTHMA
Treatment: treatment.
Salient features
 Precipitating allergens are dust, pollen, fish, nuts, strawberries, cold air, tobacco smoke,
viral and bacterial infections, exercise, emotional stress and drugs like NSAIDs, aspirin,
beta-blocker
 Classical symptoms include cough, breathlessness, chest tightness and wheezing. Signs
include tachypnoea, tachycardia, pulsus paradoxus, use of accessory muscles, silent chest
Diagnosis
 When asthma is suspected and other disorders have been ruled out (e.g. tumours in adults,
foreign body in children; don’t assume the presence of wheeze means asthma), confirm
the diagnosis with pulmonary function tests (PFTs).
 PFTs suffice as objective evidence of variable airflow obstruction:
A 12 % or greater improvement in forced expiratory volume (FEV1) in children and
adults, and > 200 ml in adults from the baseline 15 minutes after use of an inhaled
-
short-acting beta2 agonist.
Serial measures of peak expiratory flow (PEF): A > 20% change after administration
of a bronchodilator.
-
 When there is some probability of asthma and the above tests are non-diagnostic, the
following tests may be used to help diagnosis of asthma:
Methacholine challenge
Exercise challenge
-
Inhaled corticosteroid trial: appropriate doses of inhaled steroids for 4-6 weeks
-
Raised value of absolute eosinophil count (>6-8%)
-
Non pharmacological treatment
-
 Evaluate and assess impact and exposure to allergens and irritants in individual patients.
 Complete cessation of smoking and avoidance of environmental tobacco smoke is
strongly recommended.
 Lifestyle management-"
"Lately, I've noticed symptoms like Nausea, Vomiting. It's been pretty uncomfortable.","These signs are commonly associated with Food Poisoning, a condition that may result in Gastroenteritis.","Disease: ACUTE DIARRHOEA
Treatment: treatment
Blood urea, All 3 investigations in moderate to severe dehydration, SE in
S. electrolytes (SE) and persistent vomiting or signs of dyselectrolytaemia, ABG in
arterial blood gas (ABG) respiratory distress and no chest signs and sepsis (correct it
only if pH <7.25).
Infection screening by Fever persisting >72 hours, PEM > grade III or age <3
TLC, DLC, band cell count, months.
ESR and CRP
Blood culture Suspected sepsis, Before starting antibiotics.
Chest X-ray, CSF and others As and when required
Stool culture No role
Non-pharmacological treatment
 Maintain hydration by home available fluids (HAF) in place of or along with ORS. These
are rice, kanji, butter milk, dal soup, coconut water or weak tea etc. Soft drinks,
sweetened fruit drinks and tea are unsuitable and could be potentially dangerous.
386
Pediatric Conditions
 Maintain nutrition: continue breast feeding. Continue normal light diet e.g. khichri, dalia,
banana or mashed dal etc. Do not dilute or stop milk as there is not much role of lactose
intolerance or milk protein allergy. Give extra food during recovery.
Pharmacological treatment
 Low osmolarity oral rehydration solution (ORS) is used in some dehydration 75 ml/kg in
4 hours under observation.
 After 4 hours if dehydration is corrected, or if child was not dehydrated at presentation,
send home with instructions to give ORS in 2:1 dilution as accepted by the child. Asked
to report back if vomiting persists or urine is not passed for >8 hours. As a rough
guideline 10 ml/kg of ORS may be added for each large stool.
 If dehydration is not corrected after 4 hours, same amount of ORS may be repeated in
next 4 hours and if dehydration is corrected, send the patient home. If dehydration does
not improve in 8 hours or if it worsens, abandon oral rehydration therapy (ORT) and give
IV fluids.
 Zinc ORS is not superior to supplementation of zinc separately, in malnourished children
with diarrhoea.
 Principles of Oral Rehydration Therapy (ORT)
- Give in small sips.
- Vomiting is not a contraindication unless persistent.
- Contraindicated in altered sensorium or paralytic ileus.
- Stop as soon as diarrhoea stops.
 IV fluid therapy in case of severe dehydration or shock or contraindications or
failure of ORT. N/2 saline is given over 8 hours (1:100 ml KG after child passes
urine), as follows:
- Some dehydration-75 ml/kg.
- Severe dehydration-100 ml/kg (half in first 2-3 hours)
- Shock- push 20 ml/kg of Ringer's lactate or normal saline over 15 minutes and can repeat
twice more if shock persists use central venous pressure monitoring for further
management if shock present after pushing 60 ml/kg.
 Specific therapyis indicated -Frank blood and mucus in the stool or >10 pus cells/HPF
- Syr. ciprofloxacin 15-20 mg/kg/day in 2 divided doses (Shigella strains are largely
resistant to ampicillin and cotrimoxazole) for 5 days
Giardiasis (only if trophozoites are seen on stool microscopy)
- Syr. metronidazole 15 mg/kg/day in 3 divided doses for 5 days Or
- Syr. tinidazole 50 mg/kg/day single dose (max. 2 g)
Cholera (suspect in any child with severe watery diarrhoea)
Mainstay of treatment is fluid therapy and following antibiotic may be used to prevent
spread: Syr. doxycycline 5 mg/kg (max 200 mg) in single dose. Or Syr. furazolidone 5
mg/kg/day in 4 divided doses for 3 days. Or Syr. cotrimoxazole (TMP) 8 mg/kg/day in 2
divided doses for 5 days. Or Syr. erythromycin 30 mg/kg/day for 3 days.
387
Pediatric Conditions
 Severe infections to be treated by appropriate parenteral antibiotics.
 There is not much role of antiemetics in a child with vomiting. Rule out meningitis, URI
and dyselectrolytaemia and give ORS in sips. If vomiting persists give intravenous fluids.
However, occasionally 1 or 2 doses of metoclopramide (0.5 mg/kg) or domperidone (0.5
mg/kg) may be tried before giving intravenous fluids. Binding agents e.g., Kaolin pectin
etc. are not useful.
 Following drugs are contraindicated,
- Antimotility agents e.g. diphenoxylate, atropine etc. and antisecretory agents e.g.,
loperamide, salicylates etc.
 Keep record of vitals e.g. pulse, BP, capillary filling time (CFT), respiratory rate (1
hourly) and temperature (6 hourly). Monitor for improvement or worsening of signs of
dehydration. Record urine output and stool frequency and consistency.
 Modifications or step up treatment
- Admit if PEM grade III or age <3 months (as higher chances of complications e.g. shock,
hypoglycaemia etc.), associated severe systemic infections e.g. septicaemia, meningitis or
pneumonia.
- Investigate for lactose intolerance, incipient infections e.g., Urinary tract infection (UTI)
or rare gut organisms, if diarrhoea persists for >7 days.
- Exclude parenchymal renal failure, if child has not passed urine after hydration. Give a
fluid challenge (20 ml/kg of normal saline) followed by frusemide injection (1-2 mg/kg).
If urine is still not passed then parenchymal renal failure considered and managed
accordingly.
Patient education
 Inform natural course of diarrhoea to avoid dissatisfaction and ORS only prevents
dehydration i.e. purge rate and consistency usually improves by 3-7 days
 Explain the complications in diarrhoea are because of dehydration and thus ORS is the
mainstay of therapy. Explain preparation of ORS and method of administration.
Nutritional advice as mentioned earlier in non-pharmacological section. Education about
food and water hygiene."
"Lately, I've noticed symptoms like Sore Throat. It's been pretty uncomfortable.","These signs are commonly associated with Bacterial Infection, a condition that may result in Strep Throat.","Disease: MUMPS
Treatment: treatment
 Child should be encouraged to drink plenty of fluids. Water, decaffeinated soft drinks and
tea are better tolerated than acidic fruit juices (like orange juice, grape fruit juice or
lemonade) that make parotid pain worse.
 Either warm or cold packs - whichever feels better- may be used to sooth the swollen
parotid glands.
Pharmacological treatment
 Most cases are treated symptomatically on OPD basis.
 Fever treated using non aspirin fever medications such as paracetamol (10-15 mg/kg/day
SOS or every 4-6 hours). These medicines will also help relieve pain in the swollen
parotid glands. (caution: aspirin is contraindicated in children with viral illnesses due to
risk of Reye's syndrome).
 Being a viral illness, antibiotics have no role. There is no specific therapy available.
 Patients with abdominal pain, testicular swellings or signs of raised intracranial tension
need to be admitted in the hospital.
Patient education
 Parents should be explained warning signs e.g. in boys, parents are told to watch for high
fever, with pain and swelling of the testicles.
392
Pediatric Conditions
 Watch for abdominal pain that can mean involvement of the pancreas in either sex, or
involvement of the ovaries in girls.
 Severe headache, stiff neck, convulsions (seizures), extreme drowsiness etc suggest CNS
involvement and need for admission to a tertiary level center.
 Recurrence of high grade fever (above 101°F/38.3°C) often heralds onset of the above
complication and can be used as an early"
"I am dealing with Joint Pain, Fatigue recently, and It's worrying me a bit.","Based on the symptoms, the likely cause is Rheumatoid Arthritis, which typically leads to Arthritis.","Disease: CHIKUNGUNYA
Treatment: treatment
 Mild exercises and physiotherapy may be suggested in recovering persons.
 Exposure to warm environment may be suggested
 Non weight bearing exercises
 Surgery in severely damaged joints
Pharmacological treatment
 Acute stage of illness
 Treat symptomatically (Tab. paracetamol 1 gm 3-4 times a day for fever, headache and
pain.)
 Avoid aspirin and steroid because of risk of GI side effects and Reye’s syndrome with
aspirin.
 Tab. hydroxychloroquinine 200mg orally once daily or Tab. chloroquinine phosphate
300mg per day for a period of 4 weeks in cases where arthralgia is refractory to other
drugs.
 Sideeffects of hydroxychloroquinine include retinal damage andelevated liver enzymes.
26
Common Conditions"
"I've been experiencing Chest Pain, Dizziness, and it's starting to affect my daily activities.","Clinically, this pattern points toward High Blood Pressure, indicating a probable diagnosis of Hypertension.","Disease: CHRONIC KIDNEY DISEASE
Treatment: treatment
 Decrease protein intake to 0.6/kg/day
 Moderates sodium restriction to 60mmol/day
 Phosphate restriction to 1000mg/day
 Obesity: Aim for ideal body mass index of <25
 Cessation of smoking
Pharmacological treatment
Step –1Look for clues with respect to etiology:
 History of hypertension or diabetes mellitus.
 Symptoms related to lower urinary tract, recent infections.
 Features of connective tissue disease.
108
Genitourinary Diseases
 Past medical record suggestive of proteinuria.
 Pregnancy related problems.
 Past renal evaluation
 Family history of hereditary kidney disease like ADPKD / Alports syndrome.
Step –2Reversible factors in CKD
 Obstructive nephropathy, urinary tract infections, extra renal infections
 Nephrotoxic drugs,hypovolemia
 Congestive cardiac failure,pericardial temponade
 Hypokalemia / Hyperuricemia
Step -3
 In patients with proteinuria > 1g/day, BP target is <125/75mmHg
 If proteinuria <1g/day, BP target is <135/85 mmHg
 Tab. frusemide40-160 mg/ day or Tab. amlodipine 5-20 mg/day
 In diabetic nephropathy- Tab. enalapril 1.25-5 mg/day
 If hyperlipidemia –Tab. atorvastatin 10-20 mg/day
 If anemic. Inj. EPO 80-120unit/kg/week SC
Step –4Prevent and treat complications
Malnutrition
 Dietary protein intake of 0.6g/kg body weight/day
 Dietary calorie intake of 30-35 kcal/kg/day
Cardiovascular disease
 Commonest cause of mortality in CKD patients.Risk for IHD increases by 30% for every
increase in serum creatinine by 0.23mg/dl.
 At least yearly screening for cardiovascular disease should be done.
Renal osteodystrophy
 Target calcium – 8.8 to 9.7mg/dl, Phosphorous – 3.5 to 5.5 mg/dl, Calcium –
Phosphorous product < 55 mg2/dl.
 This is achieved by phosphate restricted diet. Tab. calcium carbonate 1 g/day and Tab.
vitamin D -0.25-2 mcg/day
3
Step –5Prepare for renal replacement therapy
 Early"
"I started feeling Itching, Redness, and it doesn't seem to be improving.","This presentation aligns with Allergies, often seen in cases of Allergic Reaction.","Disease: ANAPHYLAXIS
Treatment: treatment depends on
prompt diagnosis and rapid supplementation of appropriate therapy.
Clinical criteria for diagnosis
Anaphylaxis is highly likely when any one of the following three criteria is fulfilled:
1. Acute onset of an illness (minutes to several hours) with involvement of the skin, mucosal
tissue, or both (e.g., generalized urticaria, itching or flushing, swollen lips/tongue/uvula)
with one of the following,
 Respiratory compromise (e.g., dyspnoea, wheeze-bronchospasm, stridor, reduced
peak expiratoryflow(PEF), hypoxemia)
 Reduced blood pressure or associated symptoms of end-organ dysfunction (e.g.
hypotonia, collapse, syncope, incontinence)
 Involvement of the skin-mucosal tissue
 Persistent gastrointestinal symptoms (e.g., cramping abdominal pain, vomiting) or
2. Reduced blood pressure after exposure to known allergen,
 Infants and children- low systolic blood pressure (age-specific) or greater than 30%
decrease in systolic blood pressure
 Adults- systolic blood pressure of less than 90 mm Hg or greater than 30% decrease
from baseline
52
Emergency Conditions
Salient features
Skin, subcutaneous tissue, and mucosa
 Flushing, itching, urticaria (hives), angioedema, morbilliform rash, piloerection
 Periorbital itching, erythema and edema, conjunctival erythema, tearing
 Itching of lips, tongue, palate, and external auditory canals; and swelling of lips, tongue,
and uvula
 Itching of genitalia, palms, and soles
Respiratory
 Nasal itching, congestion, rhinorrhea, sneezing
 Throat itching and tightness, dysphonia, hoarseness, stridor, dry staccato cough
 Lower airways: increased respiratory rate, shortness of breath, chest tightness, deep cough,
wheezing/bronchospasm, decreased peak expiratory flow
 Cyanosis, respiratory arrest
Gastrointestinal
 Abdominal pain, nausea, vomiting (stringy mucus), diarrhea, dysphagia
Cardiovascular system
 Chest pain
 Tachycardia, bradycardia (less common), other arrhythmias, palpitations
 Hypotension, feeling faint, urinary or fecal incontinence, shock
 Cardiac arrest
Central nervous system
 Aura of impending doom, uneasiness (in infants and children, sudden behavioral change,
e.g. irritability, cessation of play, clinging to parent); throbbing
 Headache (pre-epinephrine), altered mental status, dizziness, confusion, tunnel vision
Non pharmacological treatment
 Remove exposure to trigger if possible (discontinue intravenous diagnostic or therapeutic
agent that seems to triggering symptoms). Place the patient supine and elevate the
extremities.
 Observe vital signs frequently and if possible, monitor electrocardiogram and pulse
oximetry.
 For severe anaphylaxis with shock, initial management should be directed at the ABC of
resuscitation, namely maintenance of adequate airway - suction, breathing, and
circulation. If working alone, call for assistance.
Pharmacological treatment
 Inj. adrenaline 1:1000 (1mg/ml), 0.01 ml/kg (maximum 0.3 ml in children and 0.5 ml in
adults) IM (mid anterolateral aspect of thigh). If necessary, dose can be repeated every 15
minutes.
53
Emergency Conditions
 If the anaphylaxis is due to an allergen extract or to a hymenoptera sting into an
extremity, half the dose of adrenaline can be infiltrated locally, subcutaneously after
dilution with 2 ml saline.
 High flow oxygen (4-6 lit/min by face mask or oropharyngeal airway).
 Establish two wide bore intravenous lines. Commence rapid fluid resuscitation with Inj.
NS (0.9% normal saline) at rate of 5-10 ml/kg in 5 to 10 minutes. One to two litres of
fluid bolus can be given.
 Intubate and commence intermittent positive pressure ventilation if severe laryngeal
obstruction, bronchospasm, circulatory shock or coma.
 If no response to the initial intramuscular dose of adrenaline, administer adrenaline 5
mcg/kg slowly in to the intravenous line. Repeat at 5 minutes intervals depending on
response. If the patient remains in shock, start an adrenaline infusion (preferably via a
central venous line), commencing at 0.1 mcg/kg/min in children and 0.2 mcg/kg/min in
adults with titration required to restore blood pressure. Large doses of adrenaline may
be needed.
 Commence cardiopulmonary resuscitation, if necessary.
 If the only manifestation of anaphylaxis is urticaria or angioedema, initial IM dose of
adrenaline should be given in addition to antagonists. If no other manifestation, patient
can be kept under observation for at least 12 hours and then discharged.
Additional measures
 IV infusion of chlorpheniramine 10 mg (adult), 2.5-5 mg (child) or diphenhydramine 25-
50 mg (adult) (1 mg/kg, maximum 50 mg [child]).
 Inj. salbutamol solution, 2.5 to 5 mg/3 ml given by nebulizer and face mask.
 IV hydrocortisone infusion 200 mg (adult), maximum 100 mg (child); or
methylprednisolone 50-100 mg (adult); 1 mg/kg, maximum 50 mg (child).
Supportive treatment
All patients with severe anaphylactic reaction must be hospitalized. Patients who remain
clinically unstable after initial resuscitation should be admitted to intensive care unit (ICU).
Patients respondingto the initial treatment should be observed for possible late reaction.
Patient education
To check and look for the cause (food, drugs etc.) and to avoid it in future"
"I started feeling Abdominal Pain, Bloating, and it doesn't seem to be improving.","These signs are commonly associated with Poor Diet, a condition that may result in Indigestion.","Disease: CONSTIPATION
Treatment: treatment. The important secondary causes
may include neurological, hormonal, colonic, malignancy, depression. Secondary causes
should be looked for in case of recent onset or constipation of severe symptoms.
Salient features
 Constipation is defined as decrease in frequency and liquidity of stool compared to the
normal pattern in a particular individual.
 Important complaints suggesting constipation include straining at defaecation >25% of
time, lumpy/hard stools, sensation of incomplete evacuation, or less than 3 bowel
actions per week.
Non-pharmacological treatment
 Reassurance-since many patients with normal stools and in pregnancy, imagine that they
are constipated.
 High fiber diet and increased intake of fluid with decrease in consumption of caffeinated
drinks.
 Retraining of bowels (avoiding suppression of urge to defecate, making a regular habit).
 Bulk forming agents like 'isapghula husk' or 'psyllium seeds' also help to relieve mild
constipation.
 Regular physical exercise such as walk for 1/2 to 1 hour daily and abdominal exercises.
Pharmacological treatment
(Usually required for moderate to severe constipation).
 Lactulose Soln 15-20 ml orally at night. Or Susp. magnesium sulphate 15-20 ml at night.
Or Tab. sodium picosulphate 10 mg at night. Or
135
Gastrointestinal Diseases
 Isotonic polyethylene glycol (PEG) electrolyte solution 125-250 ml.
 Any of these may be given 2-4 times a week. Some patients may require treatment for
several weeks or months if there is no improvement.
 Tab. mosapride 5 mg 2 or 3 times a day. In some patients may be required for several
weeks.
 Phosphate enemas to be used on as and when required basis in patients having acute
problem with severe constipation or sub-acute intestinal obstruction."
"I am dealing with Fatigue, Sadness recently, and It's worrying me a bit.","This presentation aligns with Depression, often seen in cases of Major Depressive.","Disease: MAJOR DEPRESSIVE DISORDER
Treatment: treatment
 Psychological factors are very important in the causing, maintaining as well as
improving depression. For holistic management of depression, some form of
psychotherapy should be co-administered.
288
Psychiatry Disorders
 Psychodynamic approach aims at promoting personality change through understanding of
major conflicts, achieving insight into defenses, ego distortions, providing role model
permitting cathartic relief or aggression.
 Cognitive behavioral approach aims at providing symptomatic relief through alteration of
target thoughts, identifying cognitive distortions, modifying erroneous assumptions,
promoting self control over thinking patterns.
 Interpersonal approach aims at providing symptoms relief through solving current
interpersonal problems, reducing stress involving family and work, improving
interpersonal communication skills.
Supportive approach with techniques such as catharsis, realistic problem solving is also
useful.
Pharmacological treatment
 Hospitalization is needed in severely suicidal patients, treatment resistant cases and non
compliant patients.
 SSRIs (selective serotonin reuptake inhibitors) are currently the drug of choice for
depression.
- Tab. fluoxetine - start with 20 mg/day increase to 40 mg/day, if no response in 4-6
weeks
- Tab. escitalopram - start with 10 mg/day depending on tolerability and gradually
increase upto 30mg/day
- Tab. sertraline - start with 25 mg/day or 50 mg/day depending on the severity of
symptoms in 1 HS dosage preferably and gradually increase to maximum of
300mg/day
 Tab. mirtazepine - start with 7.5 mg/day and gradually increase upto maximum 30
mg/day.
 Tricyclic antidepressants like Tab. imipramine for depression with somatic complaints.
Start with 25mg twice a day and gradually increase by 25 mg/day to maximum of 300
mg/day if no response (should be avoided in patients with heart disease, glaucoma,
benign prostatic enlargement and epilepsy).
 Antidepressant action takes about 2-3 weeks and needs to be continued for 6-9 months in
first episode and for longer period in recurrent depression.
 Initially benzodiazepines may need to be co-administered to manage insomnia and
anxiety.
 In cases of bipolar depression, there might be a sudden switch to mania in which case
anti-depressant should be withdrawn.
 ECT (Electroconvulsive therapy) is a very safe, effective and economical mode of
treatment and is indicated in severe depression with or without suicidal ideas, retarded
depression and resistant depression.
289
Psychiatry Disorders
Patient education
 Explain the nature of illness, consequences of untreated depression, suicidal risk, need for
adequate does for adequate duration and other supportive measures.
 The therapeutic response takes time to appear but side effects may appear earlier.
Common side effects of tricyclic antidepressants are dry mouth, constipation, postural
hypotension (giddiness), blurred vision, sweating, palpitation, tremors, delayed
micturition, sedation, etc.
 Common side effects of fluoxetine are agitation, headache, nausea or heartburn, tremors,
changes in sexual performance, blurred vision, dry mouth and loss of appetite."
