disease,treatment
FEVER,"Treatment
Routine use of antipyretics in low-grade fever is not justified. This may mask important clinical
indications. However, in acute febrile illnesses suggestive of viral or bacterial cause, fever
should be treated.
Non pharmacological treatment
Hydrotherapy and rest
Pharmacological treatment
Non-specific
 Tab. paracetamol 500-1000 mg 6-8 hourly. Or Tab. ibuprofen 400-600 mg 8 hourly.
Specific
 Antibiotics/antimalarials depending upon the cause suggested by clinical and laboratory
evaluation.
Outcome
In most cases of fever, patient may either recover spontaneously or a diagnosis is reached after
repeated clinical evaluation and investigations. If no diagnosis is reached in up to 3 weeks,
patient is said to be having fever of unknown origin (FUO) and should be managed accordingly.
Patient education
 Self medication should be avoided.
 Antibiotics should be taken only on advice of a physician.
 Avoid covering the patient having high fever with blanket etc.
 Plenty of fluids should be taken. Stay in cool environment. Cold sponging of face and limbs
should bedone repeatedly.
11
Common Conditions
References
1. Alterations in Body Temperature. In: Harrison's Principles of Internal Medicine. Kasper DL, Braunwald E,
Fauci AS et al (eds), 16th Edition, 2005, McGraw Hill Company Inc., New York, pp 104-25.
2. Physiological Changes in Infected Patients. In: Oxford Textbook of Medicine. Warrell DA, Cox TM, Firth
JD, Benz EJ Jr (eds), 4th Edition, 2003. Oxford University Press, 1289-92."
FEVER OF UNKNOWN ORIGIN (FUO),"Treatment
Sometimes evaluation may need discontinuation of all drugs being taken by the patient to rule
out drug fever as the cause of FUO.
Symptomatic treatment for fever (for details see section on fever)
12
Common Conditions
 Cold sponging may be done if fever produces discomfort. The emphasis in patients with
classic FUO is on continued observation and examination.
 (Caution: Avoid 'shotgun' trials. Empirical therapies consisting of therapeutic trials
commonly used in patients with FUO are: antibiotics, anti-tubercular treatment (ATT)
and corticosteroids).
 The ability of glucocorticoids and NSAIDs to mask fever while permitting the spread of
infection dictates that their use should be avoided unless infection has been largely ruled
out.
 If on the basis of clinical evaluation and inability to reach a definitive diagnosis, a
therapeutic trial is started, the following principles must be kept in mind:
- Give only one set of trial at a given time
- The doses of drugs and period of therapeutic trial must be adequate-
- The patient must be followed closely for response
Patient education
 Self medication should be avoided.
 Antibiotics should be taken only on advice of a physician.
 Plenty of fluids should be taken. Stay in a cool environment."
ACUTE RHEUMATIC FEVER,"treatment
 Bed rest for two weeks followed by gradual ambulation
Pharmacological treatment
 Tab. penicillin V 500 mg BD for 10 days or Inj. benzathine penicillin G- 1.2 million
units in single does or Tab. erythromycin 250 mg QID for 10 days – if patient is allergic
to penicillin.
 For secondary prophylaxis for rheumatic fever, give Inj. benzathine penicillin 1.2 million
units every 3 weeks or Tab. penicillin V 250 mg BD daily or Tab. erythromycin 250 mg
twice daily.
 Duration of prophylaxis is given in Table 1.
13
Common Conditions
Table 1. Duration of secondary prophylaxis in acute rheumatic fever
Category of Patient Duration of Prophylaxis
For 5 years after the last attack or 21 years of
Rheumatic fever without carditis
age (whichever is longer).
Rheumatic fever with carditis but no For 10 years after the last attack, or 21 years of
residual valvular disease age (whichever is longer).
Rheumatic fever with persistent valvular For 10 years after the last attack, or 40 years of
disease, evident clinically or on age (whichever is longer). Sometimes lifelong
echocardiography prophylaxis may be required.
 Arthritis: Tab. aspirin 2 g QID in adults and 80-100 mg/kg/day in children till symptoms
persist or Tab. naproxen: 10-20 mg/kg/day can also be used.
 Carditis: Tab. prednisolone 1-2 mg/kg/day can be used for short periods or up to a
maximum of 3 weeks.
 Chorea: It occurs as a long term sequelae (3-6 months). Carbamazepine or sodium
valproate is preferred to haloperidol (0.05 mg/kg/day) to reduce the abnormal movements
but response may take up to 2 weeks. Treatment should continue up to 1-2 weeks after
symptoms subside."
ANAEMIA,"treatment
Iron deficiency anaemia
 Treat the underlying cause: menorrhagia in women, gastrointestinal blood loss in all age
groups including hookworm infestation, dietary deficiency, rarely malabsorption.
 Tab. ferrous sulfate 200 mg 3 times a day.
 Reduce the dose as haemoglobin rises to over 10 g/dl. Once haemoglobin is normal,
continue with 1 tablet daily for at least three months.
 Other preparations of iron are not superior, but they can be tried if patient does not find
ferrous sulfate suitable. These include ferrous fumarate and ferrous gluconate. The rate of
rise of haemoglobin should be 1 g/dl per week.
 If this does not occur, consider ongoing blood loss, noncompliance, and associated
haemoglobinopathy like thalassaemia carrier status, malabsorption, or an incorrect
diagnosis.
 Parenteral iron does not lead to a faster rise in haemoglobin. It is indicated in the
following situations: (i) malabsorption of iron, (ii) intolerance of oral iron, (iii) in late
pregnancy to ensure that foetal stores of iron are replenished rapidly, (iv) if ongoing
blood loss exceeds the capacity to absorb oral iron (like in inoperable malignancy) and (v)
in noncompliant patient. There is danger of anaphylactoid reactions; hence facilities to
manage these should be readily available.
Folic acid deficiency
 Treat the cause: Dietary deficiency, increased requirement as in pregnancy and children,
haemolytic anaemia.
 Tab. folic acid 5 mg daily. This dose is adequate even in malabsorption syndrome.
Vitamin B deficiency
12
15
Common Conditions
 Treat the cause: Dietary deficiency in vegetarians, pernicious anaemia. Although
uncommon, it is also under diagnosed due to lack of facilities.
 Tab. vitamin B complex, as in haematinic tablets. Or Inj. B 1000 mcg IM, one injection
12
on alternate days for total 5 injections, then once a week for 5 weeks, then once in 3 to 6
months will be adequate for most patients.
Patient education
 Educate the patient about preventive measures for worm infestation.
 Inform about importance of taking adequate food with green leafy vegetables to meet the
nutritional requirement.
 Cooking food in iron utensils may increase iron content in the diet.
 Instruct the patient to take iron tablets after food; iron tablets sometimes produce stomach
upset.
 Inform the patient that the stools could turn black during iron therapy
 Reduce the dose of iron if it produces stomach ache, diarrhoea or constipation.
 Explain that the response to iron therapy is gradual and it takes weeks or months for
blood to become normal. Continue iron tablets for six months.
 Keep iron tablets out of the reach of children. They may swallow the tablets as candies
causing adverse reactions including death."
TYPHOID FEVER,"treatment
 Most patients with uncomplicated enteric fever can be managed at home with oral
antibiotics and antipyretics.
16
Common Conditions
 Patients with persistent vomiting, diarrhea, and/or abdominal distension should be
hospitalized and given supportive therapy as well as a parenteral third-generation
cephalosporin or fluoroquinolone, depending on the susceptibility profile (Table 2).
 Therapy should be administered for at least 10 days or for 5 days after fever resolution.
Table 2. Dosage schedule of antibiotics in treatment of typhoid fever
Indication Agent Dosage (Route) Duration, Days
Empirical Ceftriaxonea 1-2 g/d IV 7–14
Treatment
Fully Ciprofloxacinb (first line) 500 mg BD (PO) or 400 5–7
Susceptible mgBD (IV)
Amoxicillin (second line) 1 g TDS (PO) or 2 g QID 14
(IV)
Chloramphenicol 25 mg/kg TDS (PO or IV) 14–21
Trimethoprim- 160/800 mg BD (PO) 7–14
sulfamethoxazole
Ciprofloxacin 500 mg BD (PO) or 400 5–7
mg BD (IV)
Multidrug- Ceftriaxone 2–3 g/day (IV) 7–14
Resistant Azithromycin 1 g/day (PO)c 5
Ceftriaxone 2–3 g/d (IV) 7–14
Azithromycin 1 g/d (PO) 5
Nalidixic Acid– High-dose ciprofloxacin 750 mg bid (PO) or 400 10–14
Resistant mg q8h (IV)
aOr another third-generation cephalosporin [e.g., cefotaxime, 2 g TDS (IV); or cefixime, 400 mg
bid (PO)].
bOr ofloxacin 400 mg bid (PO) for 2–5 days.
cOr 1 g on day 1 followed by 500 mg/day PO for 6 days.
 The 1–5% of patients who develop chronic carriage of Salmonella can be treated for 4–6
weeks with an appropriate oral antibiotic.
 Treatment with oral amoxicillin, cotrimoxazole, ciprofloxacin, or norfloxacin is 80%
effective in eradicating chronic carriage of susceptible organisms.
 However, in cases of anatomic abnormality (e.g., biliary or kidney stones), eradication
often requires both antibiotic therapy and surgical correction.
17
Common Conditions"
MALARIA,"treatment (Figure 1, 2 and 3)
Figure1. Treatment where microscopy result is available within 24 hours
18
Common Conditions
Figure2. Treatment where microscopy result is not available within 24 hours and
monovalent RDT is used
Figure3. Treatment where microscopy result is not available within 24 hours and
bivalent RDT is used
19
Common Conditions
Treatment of P.vivax malaria
 Tab. chloroquine: 25 mg/kg body weight divided over three days i.e.
 10 mg/kg on day 1
 10 mg/kg on day 2
 5 mg/kg on day 3
 Tab. primaquine: 0.25 mg/kg body weight daily for 14 days.
 Primaquine is contraindicated in infants, pregnant women and individuals with G6PD
deficiency. 14 day regimen of primaquine should be given under supervision.
Treatment of P.falciparum malaria
 Artemisinin based Combination Therapy (ACT-SP) –Tab.artesunate 4 mg/kg body weight
daily for 3 days plus sulfadoxine (25 mg/kg body weight) - pyrimethamine (1.25 mg/kg
body weight) on first day.
 Tab.primaquine:0.75 mg/kg body weight on day 2
Treatment of mixed infections (P.vivax +P.falciparum) cases
All mixed infections should be treated with full course of ACT and primaquine 0.25 mg per
kg body weight daily for 14 days (Table 3).
Table 3. Dosage schedule for treatment of mixed infection (P.vivax +P.falciparum)
Day 1 Day 2 Day 3 Days 4-14
AS SP PQ AS tablet PQ AS tablet PQ PQ
Age
(50 mg) (500 mg + (2.5 mg) (50 mg) (2.5 mg) (50 mg) (2.5 mg) (2.5 mg)
25 mg)
Less than 1 yr
1/2 1/2 0 1/2 0 1/2 0 0
1-4 years 1 1 1 1 1 1 1 1
5-8 years 2 1 .5 2 2 2 2 2 2
9-14 years
3 2 4 3 4 3 4 4
15 yrs or more 4 3 6 4 6 4 6 6
AS–artesunate, SP–sulfadoxine-pyrimethamine, PQ-primaquine
20
Common Conditions
Treatment of complicated or severe malaria (Table 4)
Table 4. Treatment of severe and complicated malaria
Initial parenteral treatment for at least 48hrs."
DENGUE,"treatment
 Bed rest is advisable during the acute phase.
 Use cold sponging to keep temperature below 39ºC
Pharmacological treatment
 Management ofdengue fever is symptomatic and supportive
 Antipyretics may be used to lower the body temperature. Aspirin/NSAIDs like ibuprofen
etc should be avoided since it may cause gastritis, vomiting, acidosis and platelet
dysfunction.
 Paracetamol is preferable in the doses as follows: 1-2 years: 60 –120 mg/doses, 3-6 years:
120 mg/dose,7-12 years: 240 mg/dose,Adult : 500mg/dose
Note: In children the dose is calculated as per 10mg/kg body weight per dose which can
be repeated at the interval of 6 hrs.
 Oral fluid and electrolyte therapy are recommended for patients with excessive sweating
or vomiting.
 Patients should be monitored in DHF endemic area until they become afebrile for one
day without the use of antipyretics and after platelet and haematocrit determinations are
stable, platelet count is more than 50,000/mm3.
Management of Dengue Hemorrhagic Fever (Febrile Phase)
 The management of febrile phase is similar to that of DF.
 Paracetamol is recommended to keep the temperature below 39OC. Copious amount of
fluid should be given orally, to the extent the patient tolerates, oral hydration solution
(ORS), such as those used for the treatment of diarrhoeal diseases and/or fruit juices are
preferable to plain water
22
Common Conditions
 IV fluid may be administered if the patient is vomiting persistently or refusing to feed.
 Patients should be closely monitored for the initial signs of shock. The critical period is
during the transition from the febrile to the afebrile stage and usually occurs after the
third day of illness.
 Serial haematocrit determinations are essential guide for treatment, since they reflect the
degree of plasma leakage and need for intravenous administration of fluids.
 Haematocrit should be determined daily from the third day until the temperature has
remained normal for one or two days. If haematocrit determination is not possible,
haemoglobin determination may be carried out as an alternative.
 The details of IV treatment when required for patients are given in Figure 4.
Figure 4. Treatment algorithm of dengue
23
Common Conditions
Management of DHF Grade I and Grade II:
 Any person who has dengue fever with thrombocytopenia and haemoconcentration and
presents with abdominal pain, black tarry stools, epistaxis, bleeding from the gums and
infection etc needs to be hospitalized.
 All these patients should be observed for signs of shock. The critical period for
development of shock is transition from febrile to abferile phase of illness, which usually
occurs after third day of illness.
 A rise of haemoconcentration indicates need for IV fluid therapy. If despite the treatment,
the patient develops fall in BP, decrease in urine output or other features of shock, the
management for Grade III/IV DHF/DSS should be instituted.
 Oral rehydration should be given along with antipyretics like paracetamol sponging, etc.
as described above.
 The detailed treatment for patient with DHF Grade I and II is given at Figure 5. Common
signs of complications are observed during the afebrile phase of DHF. Immediately after
hospitalization, the haematocrit, platelet count and vital signs should be examined to
assess the patient’s condition and intravenous fluid therapy should be started. The patient
requires regular and sustained monitoring.
Figure 5. Volume replacement flow chart for patients with dengue haemorrhagic fever
grade I and II
24
Common Conditions
Fluid requirement
 The volume of fluid required to be replaced should be just sufficient to maintain effective
circulation during the period of plasma leakage. To ensure adequate fluid replacement
and avoid over-fluid infusion, the rate of intravenous fluid should be adjusted throughout
the 24 to 48 hour period of plasma leakage by periodic haematocrit determinations and
assessment of vital signs.
 The required regimen of fluid should be calculated on the basis of body weight and
charted on a 1-3 hourly basis, or more frequently in the case of shock. The flow of fluid
and the time of infusion are dependent on the severity of DHF. The schedule given below
is a guideline and calculated for moderate dehydration of about 6% deficit (plus
maintenance) (Table 5).
Table 5. Fluid requirement as per body weight of the patient
Weight on Fluid requirement/kg body
admission (kg) weight/day (ml/kg)
<7 220
7-11 165
12-18 130
>18 90
 In older children who weigh more than 40 kg, the volume needed for 24 hours should be
calculated as twice that required for maintenance (using the Holiday and Segar formula).
The maintenance fluid should be calculated as follows:
Table 6. Maintenance fluid requirement according to Holiday and Segar formula
Body weight in kg Maintenance volume for 24 hours
<10kg 100 ml / kg
10-20kg 1000+50 ml / kg
>20kg 1500+20 ml / kg
For a child weighing 40 kgs, the maintenance is: 1500 + (20x20) = 1900 ml. This means that
the child requires 3800 ml IV fluid during 24 hours.
Indications of red cell transfusion
 Loss of blood (overt blood) -10% or more of total blood volume
 Preferably whole blood/ component to be used
 Refractory shock despite adequate fluid administration and declining haematocrit -
replacement volume should be 10 ml/kg body wt at a time and coagulogram should be
done.
25
Common Conditions
 If fluid overload is present,PCV is to be given
Indications of platelet transfusion
 In general there is no need to give prophylactic platelets even at less than 20,000
cells/mm3.
 Prophylactic platelet transfusion may be given at level of less than 10,000 cells/mm3 in
absence of bleeding manifestations.
 Prolonged shock; with coagulopathy and abnormal coagulogram.
 In case of systemic massive bleeding, platelet transfusion may be needed in addition to
red cell transfusion."
CHIKUNGUNYA,"treatment
 Mild exercises and physiotherapy may be suggested in recovering persons.
 Exposure to warm environment may be suggested
 Non weight bearing exercises
 Surgery in severely damaged joints
Pharmacological treatment
 Acute stage of illness
 Treat symptomatically (Tab. paracetamol 1 gm 3-4 times a day for fever, headache and
pain.)
 Avoid aspirin and steroid because of risk of GI side effects and Reye’s syndrome with
aspirin.
 Tab. hydroxychloroquinine 200mg orally once daily or Tab. chloroquinine phosphate
300mg per day for a period of 4 weeks in cases where arthralgia is refractory to other
drugs.
 Sideeffects of hydroxychloroquinine include retinal damage andelevated liver enzymes.
26
Common Conditions"
TUBERCULOSIS,"treatment
Revised National Tuberculosis Control Programme (RNTCP) uses short course
chemotherapy given intermittently - thrice weekly under Direct Observation for both
pulmonary and extra pulmonary tuberculosis patients.
Treatment regimens
For the purpose of treatment regimen to be used, TB patients are classified into two groups,
namely, “New” or “Previously Treated”, based on the history of previous treatment.
30
Common Conditions
 Regimen for New cases: This regimen is prescribed to all new pulmonary (smear
positive and negative) and extra pulmonary tuberculosis. The regimen is 2H R Z E / 4
3 3 3 3
H R .
3 3
 Regimen for Previously Treated cases: This regimen is prescribed for TB patients who
have had more than one month anti-tuberculosis treatment previously. These patients are
at a higher risk of having drug resistance. Hence, 5 drugs are prescribed in the intensive
phase and the total duration of treatment is 8 months. Relapses, treatment after Default,
Failures and Others are treated with this regimen. The regimen is 2S H R Z E / 1H R Z
3 3 3 3 3 3 3 3
E / 5 H R E . The table below indicates the treatment regimen, type of patients and
3 3 3 3
regimens prescribed (Table 6).
Table6. Treatment regimens recommended by RNTCP for treatment of Tuberculosis
Treatment Type of patient Regimen1
groups
Intensive Continuation
Phase (IP) Phase (CP)
New* Sputum smear-positive 2H R Z E 4H R
3 3 3 3 3 3
Sputum smear-negative
Extra-pulmonary
Others
Previously Smear-positive relapse 2H R Z E S 5H R E
3 3 3 3 3 3 3 3
Treated** Smear-positive failure / 1H R Z E
3 3 3 3
Smear-positive treatment after default
Others1
* New includes former categories I and III
** Previously treated is former category II.
1 - In rare and exceptional cases, patients who are sputum smear-negative or who have extra-
pulmonary disease can have recurrence or non-response. This diagnosis in all such cases
should always be made by an MO and should be supported by culture or histological
evidence of current, active TB. In these cases, the patient should be typed as ‘Others’ and
given treatment regimen for previously treated
 The number before the letters refers to the number of months of treatment. The subscript
after the letters refers to the number of doses per week.
 The dosage strengths are as follows: isoniazid (H) 600 mg, rifampicin (R) 450 mg,
pyrazinamide (Z) 1500 mg, ethambutol (E) 1200 mg, streptomycin (S) 750 mg.
 Patients who weigh 60 kg or more receive additional rifampicin 150 mg.
 Patients more than 50 years old receive streptomycin 500 mg. Patients who weigh less
than 30kg, receive drugs as per paediatric weight band boxes according to body weight
(Table 7).
31
Common Conditions
Table 7. Drug dosages for adults in the blister packs
Dose Number of tablets in blister
Drugs
(thrice a week) pack
Isoniazid (H) 600mg 2 x 300 mg
Rifampicin (R) 450mg 1 x 450 mg
Pyrazinamide (Z) 1500mg 2 x 750 mg
Ethambutol (E) 1200mg 2 x 600 mg
Streptomycin (S) 0.75g -
 Treatment of Pediatric TB (Table 8, 9 and 10, Figure 9)
Pediatric cases are to be treated under RNTCP with the same thrice weekly short course
chemotherapy regimens (“New” or “Previously treated”) given under Directly Observed
Treatment Short Course (DOTS) as for adult patients. They are to be registered in the
respective RNTCP TB Register. Pediatric patient-wise boxes are available with different
dosages under two weight bands for children weighing 6 to 10 kg and 11 to 17 kg.
Wherever possible, before a child is started on the “Previously Treated” regimen, she/he
should be examined by a pediatrician or TB expert.
Table8. Pediatric patient wise boxes (PWB) with dosages
Product code(PC)-13 Product code(PC)-14 PC-15 PC-16"
IP CP,"treatment regimen under RNTCP
In rare and exceptional situations, non-DOTS treatment (with a self-administered non-
rifampicin containing regimen) may be needed in a few TB cases. Examples include:
Those with adverse reactions to rifampicin and / or pyrazinamide
“New” patients who refuse DOTS despite all efforts
-
This is a treatment regimen of 12-month duration comprising 2 months of SHE and 10
-
months of HE (2SHE / 10HE). Dosages administered per day in the regimen are:
Isoniazid - 300 mg
Ethambutol - 800 mg
Streptomycin - 750 mg (500 mg for those >50 years of age)
Those who weigh less than 30 kg receive dosages calculated as per body-weight.
 Drug resistant tuberculosis (MDR/XDR-TB)
MDR TB suspect: A patient suspected of drug-resistant tuberculosis, based on RNTCP
criteria for submission of specimens for drug-susceptibility testing.
MDR TB suspect criteria
Criteria A
All failures of new TB cases
Smear positive previously treated cases who remain smear positive at 4th month
-
onwards
-
All pulmonary TB cases who are contacts of known MDR TB case
Criteria B (in addition to Criteria A)
-
All smear positive previously treated pulmonary TB cases at diagnosis
Any smear positive"
